,q1c,q1cstd,q1high,q1low,q1range,q1middle,q1pos,q0c,q0cstd,q0high,q0low,q0spanmean,q0spanstd,q0lixt,q0lixc72,q0lixc288,q0lixd,q0lixm,q0lixtv,q0lixc72v,q0lixc288v,q0lixdv,q0lixmv,m0c,m0cstd,m0high,m0low,m0spanmean,m0spanstd,m0lixt,m0lixc72,m0lixc288,m0lixd,m0lixm,m0lixtv,m0lixc72v,m0lixc288v,m0lixdv,m0lixmv
2015-03-20,2.74293203764,0.824285351456,3.1956907929,-2.76973984641,5.96543063931,0.212975473247,84.8205843758,4.44064960215,0.812939617317,0.44519869935,-0.535186373326,0.987037109468,0.574593530735,32.3005700346,0.0,0.0,-19.9850720082,1.0,-0.91690548199,0.0,0.0,-0.647348515553,0.0,-1.7689813453,0.893246642361,0.593115276677,-0.571646551145,1.17313836002,0.591319340416,5.12289910191,0.0,0.0,-3.82746484747,1.0,-2.16240707067,0.0,0.0,1.83990183786,0.0
2014-12-19,5.39911575887,0.756633600171,5.6393816226,-0.150156830776,5.78953845338,2.74461239591,91.699999381,-0.695533135684,0.820467113421,0.487590940891,-0.520567083582,1.01484840702,0.546767959107,33.2174755166,0.0,0.0,-19.3377234926,1.0,-9.25303089871,0.0,0.0,3.36685652202,0.0,-0.921402033494,1.11544156474,0.731306523042,-0.687925779806,1.43107023592,0.552762346952,4.23258729621,-1.38767775991,-1.38767775991,-2.86247171179,1.0,-2.00711520839,-1.38767775991,-1.38767775991,2.68690575422,0.0
2014-09-19,1.62055352219,0.54830956976,1.66907708319,-3.47614773911,5.14522482229,-0.903535327962,98.113840982,6.16829132337,0.46284885571,0.229158441668,-0.409952837167,0.642070860851,0.281328098926,42.4705064153,0.0,0.0,-22.7045800147,1.0,5.24009335443,0.0,0.0,-1.6111219681,0.0,0.886300860071,0.498493340152,0.245730969913,-0.343029842498,0.590982193905,0.280409214251,7.62134914161,0.0,0.0,-6.11057843776,1.0,-1.31378506989,0.0,0.0,0.943736431253,0.0
2014-06-20,5.33809003536,0.435086357953,5.33809003536,0.0,5.33809003536,2.66904501768,100.0,4.08369501072,0.771493396609,0.480879772091,-0.514228606783,1.00034527262,0.437910681036,37.2304130609,0.0,0.0,-21.0934580466,1.0,11.3557591383,0.0,0.0,-0.491643227576,0.0,0.311152389378,0.7907197622,0.520500164759,-0.453967761464,0.978845709517,0.42600178214,5.50540419618,0.0,0.0,-4.59998470324,1.0,-2.09654156315,0.0,0.0,1.46787083601,0.0
2014-03-21,4.25796822523,0.756172123309,4.90144044196,-2.70347390343,7.60491434539,1.09898326927,83.0774631373,1.73431861284,0.630502659998,0.3266801355,-0.38354473719,0.713759848538,0.421292544319,25.8746539226,0.0,0.0,-20.601814819,1.0,0.0018689743717,0.0,0.0,1.25182276803,0.0,-2.77560466677,0.685570728998,0.358930419201,-0.330640310975,0.691863621614,0.429902480666,6.47028186581,0.154938649487,0.154938649487,-4.49310751951,1.0,-3.15852748618,0.154938649487,0.154938649487,3.41230816871,0.0
2013-12-20,3.32713509916,0.590005588363,3.32713509916,-0.717138936143,4.04427403531,1.30499808151,100.0,4.02683740925,0.676324841631,0.356740962041,-0.461293867654,0.822498963724,0.317982767393,25.8727849482,0.0,0.0,-21.853637587,1.0,1.73302972518,0.0,0.0,-0.859542014248,0.0,4.02068981824,0.757304282829,0.33049436294,-0.524377322486,0.860280133124,0.329105025385,9.47437984739,0.0,0.0,-7.97784899207,1.0,1.01172426974,0.0,0.0,-1.13580430266,0.0
2013-09-20,1.07942007749,0.616392087282,2.00218694881,-3.61599876642,5.61818571523,-0.806905908808,67.1507166874,6.91488236244,0.769861832645,0.436303099579,-0.53374441779,0.975634126525,0.444186912517,24.139755223,0.0,0.0,-20.9940955728,1.0,4.20992993121,0.0,0.0,-3.13346782889,0.0,5.31476414191,0.54773674696,0.308412288657,-0.515688220104,0.828950528156,0.331707884253,10.5410683704,0.0,0.0,-8.42950540602,1.0,6.70881726715,-1.13787153649,-1.13787153649,-4.00689482496,0.0
2013-06-21,0.644027711624,0.867199906673,5.49348041696,0.0,5.49348041696,2.74674020848,-76.5530169313,5.27492621608,0.730154484343,0.367796540684,-0.536628883205,0.909605278489,0.43752567549,19.9298252918,0.0,0.0,-17.8606277439,1.0,2.00043613454,0.0,0.0,-2.42363694151,0.0,0.831642407272,0.841981926173,0.417830627083,-0.60810580151,1.03229537722,0.436183464053,8.33661695511,0.0,0.0,-6.89147365862,1.0,-0.59286068079,0.0,0.0,0.25510884947,0.0
2013-03-15,5.02832958759,0.623022799306,5.198589553,0.0,5.198589553,2.5992947765,93.4497631068,3.68339446781,0.810962439201,0.473760127122,-0.574064011385,1.05521648318,0.537590067783,16.9561841107,0.0,0.0,-14.6036233234,1.0,-2.20673747988,0.0,14.6902615429,-1.88884527234,0.0,3.90378317401,0.828794833831,0.279630073395,-0.628609809619,0.916605592973,0.525366213752,7.4201134397,0.0,0.0,-5.9179613683,1.0,5.05498474253,0.0145287604682,-0.143738893132,-3.87461152125,1.0
2012-12-21,1.28972079273,0.820932249369,2.46824223807,-4.15102535866,6.61926759674,-0.841391560294,64.3911829182,1.87377580636,0.650853243254,0.427035201164,-0.461522332317,0.893934641201,0.432904685058,16.2932557407,0.0,-13.4241385889,-11.2851676516,1.0,2.02831310302,0.0,-1.63685826924,-0.0531956164524,0.0,-1.99421811536,0.676267082667,0.575334037353,-0.393246674587,0.972456093725,0.337228686731,4.56750820404,0.468105145408,0.468105145408,-2.76896171756,1.0,-5.55499247534,0.468105145408,0.468105145408,4.8359558913,0.0
2012-09-21,5.35221213678,0.61157805558,5.75770403903,-1.51301770159,7.27072174062,2.12234316872,88.8458968253,-1.23916986275,1.01426468982,0.616415295933,-0.713758533786,1.34062127677,0.477141872431,14.2649426376,0.0,-11.7872803197,-11.2319720352,1.0,2.66465738387,0.0,-11.7872803197,1.90879207016,0.0,1.74795445511,1.01141097107,0.446470688728,-0.837739733911,1.29689485187,0.507656204478,4.08955575025,0.0,0.0,-4.77814816773,1.0,3.02322091098,0.0,3.41961832059,-3.19950940131,1.0
2012-06-15,-2.58899423656,0.963714473038,1.9796389216,-7.28964824023,9.26928716183,-2.65500465931,1.42428261432,4.80089584454,0.707340194701,0.390546642246,-0.566520504503,0.963290391641,0.3841504545,9.60941315978,0.0,0.0,-11.6660192002,1.0,3.12153884875,0.0,0.0,-3.02061784017,0.0,-1.32988499112,0.819045715236,0.510413914704,-0.527494410026,1.04412927944,0.390534213917,3.48643201994,0.167537359645,0.167537359645,-5.20490481546,1.0,-4.840944175,0.167537359645,0.167537359645,3.08565668651,0.0
